,created_utc,post_count,avg_comments,avg_score,Ticker,Stock,isPartial,Noise,Count_Score_300,Adj Close,Volume
0,12/8/2020,1,4,1,MSFT,MSFT,FALSE,28,,215.5136261,23284100
1,12/9/2020,3,2.666666667,1,MSFT,MSFT,FALSE,23,,211.3133087,32440600
2,12/10/2020,1,17,1,MSFT,MSFT,FALSE,29,,210.0362549,26733300
3,12/16/2020,5,40.8,4.6,MSFT,MSFT,FALSE,26,,218.776123,35023300
4,12/17/2020,4,26.25,6.25,MSFT,MSFT,FALSE,28,,218.915802,32515800
5,12/19/2020,1,51,1,MSFT,MSFT,FALSE,12,,,
6,12/21/2020,2,12.5,1,MSFT,MSFT,FALSE,35,,222.0785065,37181900
7,12/22/2020,2,0,1,MSFT,MSFT,FALSE,36,,223.425415,22612200
8,12/24/2020,1,0,1,MSFT,MSFT,FALSE,19,,222.2381439,10550600
9,12/25/2020,2,17,1,MSFT,MSFT,FALSE,8,,,
10,12/26/2020,2,79,1,MSFT,MSFT,FALSE,8,,,
11,12/27/2020,1,38,1,MSFT,MSFT,FALSE,3,,,
12,1/1/2021,1,0,1,MSFT,MSFT,FALSE,9,,,
13,1/5/2021,2,1,1,MSFT,MSFT,FALSE,28,,217.399292,23823000
14,1/12/2021,1,0,1,MSFT,MSFT,FALSE,19,,214.4361115,23249300
15,1/14/2021,1,0,1,MSFT,MSFT,FALSE,27,,212.5305176,29480800
16,1/18/2021,1,147,1,MSFT,MSFT,FALSE,8,,,
17,1/20/2021,2,11.5,0.5,MSFT,MSFT,FALSE,33,,223.8244934,37777300
18,1/22/2021,1,0,1,MSFT,MSFT,FALSE,32,,225.4307861,30172700
19,1/24/2021,2,1,1,MSFT,MSFT,FALSE,5,,,
20,1/25/2021,2,1,1,MSFT,MSFT,FALSE,32,,229.0025635,33152100
21,1/27/2021,2,0,1,MSFT,MSFT,FALSE,97,,232.3648224,69870600
22,1/28/2021,2,0,1,MSFT,MSFT,FALSE,49,,238.3809662,49111200
23,1/29/2021,1,0,1,MSFT,MSFT,FALSE,38,,231.4269867,42468900
24,2/3/2021,1,0,3,MSFT,MSFT,FALSE,39,,242.4416199,27158100
25,12/8/2020,25,14.4,1,TSLA,TSLA,FALSE,67,,649.8800049,64265000
26,12/9/2020,35,29.25714286,1,TSLA,TSLA,FALSE,63,,604.4799805,71291200
27,12/10/2020,23,35.30434783,1,TSLA,TSLA,FALSE,65,,627.0700073,67083200
28,12/11/2020,16,43.4375,1,TSLA,TSLA,FALSE,53,,609.9899902,46475000
29,12/12/2020,12,35.75,1,TSLA,TSLA,FALSE,14,,,
30,12/13/2020,12,61.41666667,1,TSLA,TSLA,FALSE,7,,,
31,12/14/2020,34,60.67647059,1,TSLA,TSLA,FALSE,44,,639.8300171,52040600
32,12/15/2020,21,12.28571429,1,TSLA,TSLA,FALSE,49,,633.25,45223600
33,12/16/2020,19,42.57894737,3,TSLA,TSLA,FALSE,45,,622.7700195,42095800
34,12/17/2020,22,146.5454545,48.95454545,TSLA,TSLA,FALSE,44,1,655.9000244,56270100
35,12/18/2020,75,57.44,189.1333333,TSLA,TSLA,FALSE,81,6,695,222126200
36,12/19/2020,28,38.28571429,2.678571429,TSLA,TSLA,FALSE,28,,,
37,12/20/2020,17,13.76470588,1,TSLA,TSLA,FALSE,12,,,
38,12/21/2020,30,35.76666667,1,TSLA,TSLA,FALSE,81,,649.8599854,58045300
39,12/22/2020,23,25.43478261,1,TSLA,TSLA,FALSE,60,,640.3400269,51716000
40,12/23/2020,13,31.69230769,1,TSLA,TSLA,FALSE,57,,645.9799805,33173000
41,12/24/2020,12,13.16666667,1,TSLA,TSLA,FALSE,39,,661.7700195,22865600
42,12/25/2020,11,11.72727273,1,TSLA,TSLA,FALSE,13,,,
43,12/26/2020,10,2.6,1,TSLA,TSLA,FALSE,10,,,
44,12/27/2020,13,6.615384615,1,TSLA,TSLA,FALSE,6,,,
45,12/28/2020,12,6.583333333,0.833333333,TSLA,TSLA,FALSE,39,,663.6900024,32278600
46,12/29/2020,7,8.571428571,1,TSLA,TSLA,FALSE,38,,665.9899902,22910800
47,12/30/2020,25,20.2,1,TSLA,TSLA,FALSE,37,,694.7800293,42846000
48,12/31/2020,22,13.18181818,1,TSLA,TSLA,FALSE,50,,705.6699829,49649900
49,1/1/2021,21,11.95238095,1,TSLA,TSLA,FALSE,15,,,
50,1/2/2021,9,84,1,TSLA,TSLA,FALSE,12,,,
51,1/3/2021,9,21,1,TSLA,TSLA,FALSE,12,,,
52,1/4/2021,25,20.88,1,TSLA,TSLA,FALSE,46,,729.7700195,48638200
53,1/5/2021,24,25.29166667,1.083333333,TSLA,TSLA,FALSE,49,,735.1099854,32245200
54,1/6/2021,30,25.73333333,2.066666667,TSLA,TSLA,FALSE,58,,755.9799805,44700000
55,1/7/2021,48,51.20833333,2.645833333,TSLA,TSLA,FALSE,80,,816.039978,51498900
56,1/8/2021,83,31.71084337,2.204819277,TSLA,TSLA,FALSE,100,,880.0200195,75055500
57,1/9/2021,45,115.7777778,2.555555556,TSLA,TSLA,FALSE,26,,,
58,1/10/2021,24,21.875,2.958333333,TSLA,TSLA,FALSE,13,,,
59,1/11/2021,43,55.39534884,2.906976744,TSLA,TSLA,FALSE,72,,811.1900024,59554100
60,1/12/2021,34,34.52941176,4.764705882,TSLA,TSLA,FALSE,76,,849.4400024,46270700
61,1/13/2021,27,15.25925926,4.592592593,TSLA,TSLA,FALSE,57,,854.4099731,33312500
62,1/14/2021,19,14.94736842,2.842105263,TSLA,TSLA,FALSE,56,,845,31266300
63,1/15/2021,21,14.0952381,3.380952381,TSLA,TSLA,FALSE,51,,826.1599731,38777600
64,1/16/2021,14,18.71428571,1.071428571,TSLA,TSLA,FALSE,17,,,
65,1/17/2021,17,30.47058824,1,TSLA,TSLA,FALSE,7,,,
66,1/18/2021,11,11.09090909,1,TSLA,TSLA,FALSE,17,,,
67,1/19/2021,17,3.823529412,1.588235294,TSLA,TSLA,FALSE,42,,844.5499878,25367000
68,1/20/2021,18,4.166666667,1.444444444,TSLA,TSLA,FALSE,41,,850.4500122,25665900
69,1/21/2021,8,15.25,2.25,TSLA,TSLA,FALSE,44,,844.9899902,20598100
70,1/22/2021,19,10.52631579,1.105263158,TSLA,TSLA,FALSE,37,,846.6400146,20066500
71,1/23/2021,13,32.76923077,1,TSLA,TSLA,FALSE,10,,,
72,1/24/2021,20,0.1,1,TSLA,TSLA,FALSE,8,,,
73,1/25/2021,43,0.325581395,1.023255814,TSLA,TSLA,FALSE,42,,880.7999878,41173400
74,1/26/2021,8,0.375,1,TSLA,TSLA,FALSE,53,,883.0900269,23131600
75,1/27/2021,51,2.705882353,1.215686275,TSLA,TSLA,FALSE,76,,864.1599731,27334000
76,1/28/2021,39,1.615384615,1.051282051,TSLA,TSLA,FALSE,69,,835.4299927,26378000
77,1/29/2021,34,9.058823529,1,TSLA,TSLA,FALSE,61,,793.5300293,34990800
78,1/30/2021,17,2.235294118,0.941176471,TSLA,TSLA,FALSE,16,,,
79,1/31/2021,5,81.6,70,TSLA,TSLA,FALSE,12,,,
80,2/1/2021,19,9.473684211,37,TSLA,TSLA,FALSE,51,1,839.8099976,25391400
81,2/2/2021,34,105.4411765,1780.529412,TSLA,TSLA,FALSE,51,1,872.789978,24346200
82,2/3/2021,8,15.125,98,TSLA,TSLA,FALSE,43,1,854.6900024,18343500
83,12/9/2020,1,86,1,AMZN,AMZN,FALSE,24,,3104.199951,4100800
84,12/10/2020,1,12,1,AMZN,AMZN,FALSE,25,,3101.48999,3030200
85,12/12/2020,2,0,1,AMZN,AMZN,FALSE,9,,,
86,12/14/2020,1,0,1,AMZN,AMZN,FALSE,29,,3156.969971,4155800
87,12/15/2020,1,32,1,AMZN,AMZN,FALSE,29,,3165.120117,3323700
88,12/16/2020,2,17,5.5,AMZN,AMZN,FALSE,26,,3240.959961,4427600
89,12/17/2020,2,1,1.5,AMZN,AMZN,FALSE,25,,3236.080078,3474300
90,12/19/2020,2,71.5,2,AMZN,AMZN,FALSE,8,,,
91,12/21/2020,2,7,1,AMZN,AMZN,FALSE,24,,3206.179932,3836800
92,12/22/2020,2,15,1,AMZN,AMZN,FALSE,24,,3206.52002,2369400
93,12/23/2020,1,2,1,AMZN,AMZN,FALSE,26,,3185.27002,2093800
94,12/26/2020,2,27,1,AMZN,AMZN,FALSE,12,,,
95,12/28/2020,2,30.5,1,AMZN,AMZN,FALSE,24,,3283.959961,5686800
96,12/29/2020,1,31,1,AMZN,AMZN,FALSE,27,,3322,4872900
97,12/30/2020,3,16.33333333,1,AMZN,AMZN,FALSE,26,,3285.850098,3209300
98,1/1/2021,1,0,1,AMZN,AMZN,FALSE,7,,,
99,1/3/2021,2,21,1,AMZN,AMZN,FALSE,5,,,
100,1/4/2021,2,0,1,AMZN,AMZN,FALSE,22,,3186.629883,4411400
101,1/5/2021,1,27,1,AMZN,AMZN,FALSE,22,,3218.51001,2655500
102,1/6/2021,2,0,1.5,AMZN,AMZN,FALSE,27,,3138.379883,4394800
103,1/7/2021,1,0,1,AMZN,AMZN,FALSE,28,,3162.159912,3514500
104,1/9/2021,3,24,1.333333333,AMZN,AMZN,FALSE,7,,,
105,1/10/2021,2,0,1,AMZN,AMZN,FALSE,4,,,
106,1/11/2021,5,30.4,1.4,AMZN,AMZN,FALSE,27,,3114.209961,3683400
107,1/12/2021,1,2,1,AMZN,AMZN,FALSE,28,,3120.830078,3514600
108,1/13/2021,1,36,4,AMZN,AMZN,FALSE,22,,3165.889893,3321200
109,1/14/2021,1,22,1,AMZN,AMZN,FALSE,25,,3127.469971,3070900
110,1/15/2021,2,11.5,3.5,AMZN,AMZN,FALSE,27,,3104.25,4244000
111,1/16/2021,1,53,2,AMZN,AMZN,FALSE,9,,,
112,1/17/2021,1,0,1,AMZN,AMZN,FALSE,5,,,
113,1/19/2021,2,21,4.5,AMZN,AMZN,FALSE,22,,3120.76001,3305100
114,1/20/2021,9,49.44444444,8.333333333,AMZN,AMZN,FALSE,28,,3263.379883,5309800
115,1/21/2021,5,14.6,1,AMZN,AMZN,FALSE,34,,3306.98999,4945100
116,1/22/2021,3,0.666666667,1,AMZN,AMZN,FALSE,30,,3292.22998,2821900
117,1/23/2021,3,13,1,AMZN,AMZN,FALSE,5,,,
118,1/24/2021,3,8,1,AMZN,AMZN,FALSE,5,,,
119,1/25/2021,2,0.5,1,AMZN,AMZN,FALSE,26,,3294,3749800
120,1/26/2021,1,1,1,AMZN,AMZN,FALSE,30,,3326.129883,2955200
121,1/27/2021,4,0.25,0.75,AMZN,AMZN,FALSE,28,,3232.580078,4660200
122,1/28/2021,9,9.111111111,3.666666667,AMZN,AMZN,FALSE,27,,3237.620117,3149200
123,1/29/2021,2,0,1,AMZN,AMZN,FALSE,26,,3206.199951,4285600
124,1/31/2021,1,322,670,AMZN,AMZN,FALSE,6,1,,
125,2/1/2021,8,18.5,0.875,AMZN,AMZN,FALSE,34,,3342.879883,4160200
126,2/2/2021,6,5.166666667,4.5,AMZN,AMZN,FALSE,100,,3380,7098600
127,2/3/2021,3,8.333333333,56.33333333,AMZN,AMZN,FALSE,88,,3312.530029,7088800
128,12/8/2020,2,51.5,1,AAPL,AAPL,FALSE,37,,124.1944122,82225500
129,12/9/2020,2,14.5,1,AAPL,AAPL,FALSE,32,,121.5982895,115089200
130,12/11/2020,1,0,1,AAPL,AAPL,FALSE,30,,122.227356,86939800
131,12/12/2020,3,31.66666667,1,AAPL,AAPL,FALSE,8,,,
132,12/13/2020,1,0,1,AAPL,AAPL,FALSE,6,,,
133,12/15/2020,3,36.66666667,1,AAPL,AAPL,FALSE,43,,127.6891861,157572300
134,12/16/2020,2,20,1.5,AAPL,AAPL,FALSE,40,,127.6192932,98208600
135,12/17/2020,1,131,48,AAPL,AAPL,FALSE,40,,128.5079651,94359800
136,12/18/2020,3,1.333333333,1.333333333,AAPL,AAPL,FALSE,36,,126.4710159,192541500
137,12/19/2020,2,11,1,AAPL,AAPL,FALSE,10,,,
138,12/20/2020,1,21,1,AAPL,AAPL,FALSE,6,,,
139,12/21/2020,15,9.266666667,1,AAPL,AAPL,FALSE,45,,128.0386658,121251600
140,12/22/2020,17,8.882352941,1,AAPL,AAPL,FALSE,56,,131.6832275,168904800
141,12/23/2020,11,22.54545455,1,AAPL,AAPL,FALSE,46,,130.7646027,88223700
142,12/25/2020,11,20.09090909,1,AAPL,AAPL,FALSE,9,,,
143,12/26/2020,2,91,1,AAPL,AAPL,FALSE,10,,,
144,12/27/2020,4,0.5,1,AAPL,AAPL,FALSE,5,,,
145,12/28/2020,1,0,1,AAPL,AAPL,FALSE,49,,136.4860535,124486200
146,12/29/2020,2,58.5,1,AAPL,AAPL,FALSE,51,,134.6687622,121047300
147,12/30/2020,1,0,1,AAPL,AAPL,FALSE,40,,133.5204773,96452100
148,12/31/2020,2,0,1,AAPL,AAPL,FALSE,37,,132.4920197,99116600
149,1/1/2021,2,5,1,AAPL,AAPL,FALSE,10,,,
150,1/4/2021,2,0,1,AAPL,AAPL,FALSE,38,,129.2169189,143301900
151,1/5/2021,1,1,1,AAPL,AAPL,FALSE,38,,130.8145142,97664900
152,1/6/2021,4,0,1,AAPL,AAPL,FALSE,44,,126.4111023,155088000
153,1/7/2021,2,4.5,2.5,AAPL,AAPL,FALSE,43,,130.7246552,109578200
154,1/8/2021,3,13.33333333,2,AAPL,AAPL,FALSE,42,,131.8529663,105158200
155,1/9/2021,4,53.25,1.25,AAPL,AAPL,FALSE,10,,,
156,1/10/2021,3,42.66666667,1,AAPL,AAPL,FALSE,6,,,
157,1/11/2021,2,40.5,3,AAPL,AAPL,FALSE,40,,128.7875519,100620900
158,1/12/2021,5,122.8,20.4,AAPL,AAPL,FALSE,37,,128.6078186,91951100
159,1/13/2021,7,49.28571429,3.285714286,AAPL,AAPL,FALSE,37,,130.6947021,88636800
160,1/14/2021,1,42,7,AAPL,AAPL,FALSE,36,,128.7176666,90221800
161,1/15/2021,2,22.5,3.5,AAPL,AAPL,FALSE,40,,126.9502945,111598500
162,1/18/2021,1,2,1,AAPL,AAPL,FALSE,13,,,
163,1/21/2021,5,10.8,1,AAPL,AAPL,FALSE,47,,136.6657715,120529500
164,1/22/2021,17,6.411764706,1,AAPL,AAPL,FALSE,45,,138.8625031,114459400
165,1/23/2021,9,23.66666667,1,AAPL,AAPL,FALSE,15,,,
166,1/24/2021,3,7.333333333,1,AAPL,AAPL,FALSE,9,,,
167,1/25/2021,19,0.421052632,1.052631579,AAPL,AAPL,FALSE,55,,142.7067566,157611700
168,1/26/2021,1,1,1,AAPL,AAPL,FALSE,58,,142.9463959,98390600
169,1/27/2021,11,8.545454545,2.545454545,AAPL,AAPL,FALSE,100,,141.8480377,140843800
170,1/28/2021,16,1.125,1,AAPL,AAPL,FALSE,92,,136.8854523,142621100
171,1/29/2021,5,0,1,AAPL,AAPL,FALSE,64,,131.7631073,177180600
172,1/30/2021,6,77.66666667,0.833333333,AAPL,AAPL,FALSE,16,,,
173,1/31/2021,3,21.33333333,6.333333333,AAPL,AAPL,FALSE,14,,,
174,2/1/2021,5,31.6,30.6,AAPL,AAPL,FALSE,55,,133.9398499,106239800
175,2/2/2021,8,0.625,18.875,AAPL,AAPL,FALSE,57,,134.7885895,83305400
176,2/3/2021,5,19.2,36.8,AAPL,AAPL,FALSE,55,,133.7401581,89880900
177,12/9/2020,4,17.75,1,JPM,JPM,FALSE,29,,120.1844711,13073900
178,12/10/2020,2,3.5,1,JPM,JPM,FALSE,27,,119.4100418,13668400
179,12/14/2020,2,16,1,JPM,JPM,FALSE,24,,117.4541321,12112400
180,12/15/2020,4,6,1,JPM,JPM,FALSE,35,,119.4596863,12591400
181,12/20/2020,2,2,1,JPM,JPM,FALSE,19,,,
182,12/21/2020,2,25,1,JPM,JPM,FALSE,67,,122.6665955,28323600
183,12/22/2020,2,37,1,JPM,JPM,FALSE,50,,120.8000259,11788200
184,12/23/2020,1,2,1,JPM,JPM,FALSE,44,,124.1757202,14973200
185,1/4/2021,2,40,1,JPM,JPM,FALSE,39,,124.9700012,16819900
186,1/7/2021,1,0,1,JPM,JPM,FALSE,57,,135.8699951,21940400
187,1/8/2021,1,2,1,JPM,JPM,FALSE,66,,136.0200043,12035100
188,1/10/2021,1,4,1,JPM,JPM,FALSE,18,,,
189,1/11/2021,2,8.5,1.5,JPM,JPM,FALSE,51,,138.0500031,15949000
190,1/14/2021,1,0,1,JPM,JPM,FALSE,49,,141.1699982,18565600
191,1/15/2021,1,8,1,JPM,JPM,FALSE,100,,138.6399994,27881000
192,1/22/2021,3,21.33333333,1,JPM,JPM,FALSE,41,,133.7899933,12933200
193,1/23/2021,1,101,1,JPM,JPM,FALSE,8,,,
194,1/25/2021,2,0.5,1,JPM,JPM,FALSE,25,,132.1199951,14212800
195,1/27/2021,6,6.333333333,0.666666667,JPM,JPM,FALSE,39,,127.8600006,17603900
196,1/28/2021,8,1,1,JPM,JPM,FALSE,36,,130.1100006,13761800
197,1/29/2021,5,0,1,JPM,JPM,FALSE,37,,128.6699982,14803100
198,1/30/2021,4,180.75,1,JPM,JPM,FALSE,8,,,
199,1/31/2021,6,0,1,JPM,JPM,FALSE,21,,,
200,2/1/2021,7,0,1,JPM,JPM,FALSE,35,,129.6199951,11080700
201,2/2/2021,10,1.6,0.9,JPM,JPM,FALSE,44,,133.6100006,12253600
202,2/3/2021,1,0,1,JPM,JPM,FALSE,48,,135.1399994,10600800
203,12/9/2020,1,35,1,CRM,CRM,FALSE,53,,220.5700073,15651800
204,12/10/2020,3,46.33333333,1,CRM,CRM,FALSE,53,,222.9199982,9258600
205,12/11/2020,1,50,1,CRM,CRM,FALSE,50,,222.4199982,8214400
206,12/14/2020,3,34.33333333,1,CRM,CRM,FALSE,39,,221.2700043,8508500
207,12/16/2020,1,16,1,CRM,CRM,FALSE,50,,223.6199951,8821400
208,12/18/2020,1,76,18,CRM,CRM,FALSE,32,,227.4299927,11845400
209,12/22/2020,2,4.5,1,CRM,CRM,FALSE,37,,231.1699982,10339600
210,12/23/2020,3,18,1,CRM,CRM,FALSE,29,,227.4299927,7090500
211,12/25/2020,2,36,1,CRM,CRM,FALSE,18,,,
212,12/26/2020,1,8,1,CRM,CRM,FALSE,14,,,
213,12/28/2020,2,10,1,CRM,CRM,FALSE,36,,224.6399994,6422500
214,12/29/2020,2,4,1,CRM,CRM,FALSE,38,,222.4600067,6122400
215,12/31/2020,3,9.666666667,1,CRM,CRM,FALSE,37,,222.5299988,6011100
216,1/1/2021,2,58,1,CRM,CRM,FALSE,16,,,
217,1/4/2021,2,40,1,CRM,CRM,FALSE,39,,220.3099976,10319900
218,1/6/2021,1,41,1,CRM,CRM,FALSE,40,,216.1499939,9789800
219,1/7/2021,1,58,6,CRM,CRM,FALSE,41,,217.9799957,8443100
220,1/8/2021,2,0,1,CRM,CRM,FALSE,36,,222.0399933,7301700
221,1/9/2021,1,0,1,CRM,CRM,FALSE,19,,,
222,1/10/2021,1,52,2,CRM,CRM,FALSE,18,,,
223,1/12/2021,1,70,7,CRM,CRM,FALSE,47,,215.5200043,10736000
224,1/20/2021,1,113,6,CRM,CRM,FALSE,43,,223.4400024,9857700
225,1/23/2021,3,33,1,CRM,CRM,FALSE,22,,,
226,1/24/2021,1,0,1,CRM,CRM,FALSE,18,,,
227,1/25/2021,4,2,1,CRM,CRM,FALSE,38,,225.9199982,8213500
228,1/27/2021,2,9,0.5,CRM,CRM,FALSE,49,,224.7799988,7641100
229,2/1/2021,3,11.66666667,27.66666667,CRM,CRM,FALSE,32,,228.4600067,5696700
230,2/2/2021,4,0.5,1,CRM,CRM,FALSE,40,,234.1999969,7134900
231,2/3/2021,2,0,1,CRM,CRM,FALSE,38,,234.8200073,5357600
232,12/11/2020,1,2,1,ZM,ZM,FALSE,24,,397.0100098,4677400
233,12/20/2020,2,4.5,1,ZM,ZM,FALSE,7,,,
234,12/22/2020,1,14,1,ZM,ZM,FALSE,31,,409,4211000
235,12/28/2020,3,6,1,ZM,ZM,FALSE,42,,351.3900146,9454800
236,1/1/2021,3,4,1,ZM,ZM,FALSE,13,,,
237,1/4/2021,1,80,1,ZM,ZM,FALSE,36,,359.980011,8598300
238,1/5/2021,1,0,1,ZM,ZM,FALSE,48,,360.8299866,4983500
239,1/13/2021,1,40,19,ZM,ZM,FALSE,42,,364.6300049,14056500
240,1/14/2021,2,11.5,1,ZM,ZM,FALSE,43,,383.2399902,9311000
241,1/16/2021,2,19,1,ZM,ZM,FALSE,9,,,
242,1/23/2021,1,0,1,ZM,ZM,FALSE,1,,,
243,1/27/2021,1,0,1,ZM,ZM,FALSE,23,,370.7399902,4557500
244,1/28/2021,4,1,1,ZM,ZM,FALSE,17,,378.5899963,3374200
245,1/29/2021,3,0.333333333,1,ZM,ZM,FALSE,14,,372.0700073,3959000
246,1/30/2021,1,0,1,ZM,ZM,FALSE,3,,,
247,2/1/2021,1,0,1,ZM,ZM,FALSE,19,,381.9299927,3443900
248,2/2/2021,1,1,1,ZM,ZM,FALSE,20,,391.8399963,3780100
249,12/8/2020,4,104.5,1,PTON,PTON,FALSE,31,,118.25,9196200
250,12/10/2020,3,23,1,PTON,PTON,FALSE,25,,117.9899979,9688400
251,12/15/2020,2,48,1,PTON,PTON,FALSE,32,,127.7799988,9907000
252,12/17/2020,1,0,1,PTON,PTON,FALSE,33,,136.8000031,10599800
253,12/18/2020,1,11,3,PTON,PTON,FALSE,26,,139.8399963,32497800
254,12/19/2020,1,22,7,PTON,PTON,FALSE,10,,,
255,12/21/2020,1,33,1,PTON,PTON,FALSE,67,,144.3899994,14272900
256,12/22/2020,1,9,1,PTON,PTON,FALSE,100,,161.2100067,40072800
257,12/23/2020,3,25,1,PTON,PTON,FALSE,49,,162.7599945,12869000
258,12/25/2020,5,70,1,PTON,PTON,FALSE,15,,,
259,12/27/2020,1,0,1,PTON,PTON,FALSE,10,,,
260,12/30/2020,5,7.4,1,PTON,PTON,FALSE,40,,154.9600067,6802400
261,1/1/2021,1,0,1,PTON,PTON,FALSE,13,,,
262,1/17/2021,4,0.5,1,PTON,PTON,FALSE,5,,,
263,1/25/2021,1,1,1,PTON,PTON,FALSE,20,,157.1399994,6611700
264,1/27/2021,9,0.444444444,1,PTON,PTON,FALSE,44,,144.9600067,7359200
265,1/28/2021,1,1,1,PTON,PTON,FALSE,33,,145.8300018,6281500
266,2/3/2021,1,0,1,PTON,PTON,FALSE,33,,147.1699982,4095000
267,12/10/2020,5,41.6,1,DIS,DIS,FALSE,48,,154.6900024,8993200
268,12/11/2020,3,46,1,DIS,DIS,FALSE,100,,175.7200012,87410700
269,12/12/2020,2,0,1,DIS,DIS,FALSE,48,,,
270,12/13/2020,1,18,1,DIS,DIS,FALSE,50,,,
271,12/14/2020,2,34,1,DIS,DIS,FALSE,57,,169.3000031,30939400
272,12/15/2020,1,0,1,DIS,DIS,FALSE,51,,173.9400024,18817200
273,12/16/2020,1,0,2,DIS,DIS,FALSE,53,,173.1199951,11105800
274,12/25/2020,2,10,1,DIS,DIS,FALSE,45,,,
275,12/26/2020,1,129,1,DIS,DIS,FALSE,39,,,
276,12/30/2020,1,0,1,DIS,DIS,FALSE,35,,181.1699982,11680400
277,1/2/2021,1,41,1,DIS,DIS,FALSE,44,,,
278,1/3/2021,1,3,1,DIS,DIS,FALSE,40,,,
279,1/4/2021,1,80,1,DIS,DIS,FALSE,45,,177.6799927,13426600
280,1/6/2021,1,1,1,DIS,DIS,FALSE,60,,179.1199951,7517800
281,1/8/2021,1,34,6,DIS,DIS,FALSE,61,,178.6900024,7894500
282,1/11/2021,1,0,1,DIS,DIS,FALSE,55,,179.0899963,6464100
283,1/12/2021,1,0,1,DIS,DIS,FALSE,50,,175.9900055,8349800
284,1/13/2021,3,0.666666667,1,DIS,DIS,FALSE,63,,176.1199951,6839500
285,1/14/2021,3,0.666666667,1,DIS,DIS,FALSE,56,,173.4299927,8951200
286,1/15/2021,1,0,1,DIS,DIS,FALSE,48,,171.4400024,12232500
287,1/18/2021,3,21.33333333,0.666666667,DIS,DIS,FALSE,43,,,
288,1/20/2021,2,14.5,2,DIS,DIS,FALSE,77,,173.6399994,9809200
289,1/21/2021,1,22,1,DIS,DIS,FALSE,74,,171.2799988,8423900
290,1/22/2021,2,0.5,1.5,DIS,DIS,FALSE,58,,172.7799988,9517200
291,1/23/2021,3,15,1,DIS,DIS,FALSE,53,,,
292,1/24/2021,1,0,1,DIS,DIS,FALSE,48,,,
293,1/25/2021,10,0.5,1,DIS,DIS,FALSE,49,,171.8899994,7833700
294,1/26/2021,2,0.5,1,DIS,DIS,FALSE,50,,169.5599976,7523200
295,1/27/2021,73,5.452054795,8.123287671,DIS,DIS,FALSE,54,,163.0299988,18239200
296,1/28/2021,86,5.569767442,1,DIS,DIS,FALSE,52,,171.8800049,14449100
297,1/29/2021,36,6.222222222,1,DIS,DIS,FALSE,61,,168.1699982,12840900
298,1/30/2021,21,15.28571429,1,DIS,DIS,FALSE,36,,,
299,1/31/2021,13,2.230769231,9,DIS,DIS,FALSE,43,,,
300,2/1/2021,64,78.40625,517.28125,DIS,DIS,FALSE,54,3,170.9700012,8140400
301,2/2/2021,62,10.88709677,131.4354839,DIS,DIS,FALSE,49,3,176.9600067,12215200
302,2/3/2021,6,4.166666667,141.5,DIS,DIS,FALSE,50,1,176.4299927,5508600
303,1/9/2021,3,4.666666667,1.333333333,MCD,MCD,FALSE,43,,,
304,1/15/2021,1,3,0,MCD,MCD,FALSE,45,,208.626358,3593700
305,1/27/2021,2,9,0.5,MCD,MCD,FALSE,69,,205.7341614,5464000
306,1/29/2021,1,0,1,MCD,MCD,FALSE,80,,206.5690155,5202500
307,1/30/2021,1,0,1,MCD,MCD,FALSE,50,,,
308,1/7/2021,1,0,1,PRTY,PRTY,FALSE,87,,8.140000343,4957700
309,1/12/2021,3,1.333333333,1,PRTY,PRTY,FALSE,51,,8.069999695,2710100
310,1/20/2021,1,7,0,PRTY,PRTY,FALSE,62,,7.039999962,4048800
